file,churn_raw,churn,authorCount_raw,authorCount,primaryOwnerShare,ownerConcentration,cochangeBreadth,recency,lastCommitDate,riskScore
internal/query/pipeline/resources_internal_test.go,1,0.2891,1,0.3869,1.0,0.0,0.1308,0.8889,2026-06-14,0.347
internal/query/pipeline/testhelpers_test.go,1,0.2891,1,0.3869,1.0,0.0,0.1308,0.8889,2026-06-14,0.347
internal/query/pipeline/types.go,1,0.2891,1,0.3869,1.0,0.0,0.1308,0.8889,2026-06-14,0.347
internal/query/unified.go,1,0.2891,1,0.3869,1.0,0.0,0.1308,0.8889,2026-06-14,0.347
internal/query/unified_types.go,1,0.2891,1,0.3869,1.0,0.0,0.1308,0.8889,2026-06-14,0.347
cmd/mcp-server/handlers_query.go,1,0.2891,1,0.3869,1.0,0.0,0.1028,0.9,2026-06-15,0.3451
cmd/mcp-server/handlers_stage1.go,1,0.2891,1,0.3869,1.0,0.0,0.1028,0.9,2026-06-15,0.3451
cmd/mcp-server/handlers_stage2.go,1,0.2891,1,0.3869,1.0,0.0,0.1028,0.9,2026-06-15,0.3451
cmd/mcp-server/output_mode.go,1,0.2891,1,0.3869,1.0,0.0,0.1028,0.9,2026-06-15,0.3451
cmd/mcp-server/temp_file_manager.go,1,0.2891,1,0.3869,1.0,0.0,0.1028,0.9,2026-06-15,0.3451
cmd/mcp-server/analysis_errors_test.go,1,0.2891,1,0.3869,1.0,0.0,0.1028,0.8889,2026-06-14,0.3428
internal/locator/env.go,1,0.2891,1,0.3869,1.0,0.0,0.1028,0.8889,2026-06-14,0.3428
internal/locator/env_test.go,1,0.2891,1,0.3869,1.0,0.0,0.1028,0.8889,2026-06-14,0.3428
cmd/mcp-server/handlers_query_session_scope_test.go,1,0.2891,1,0.3869,1.0,0.0,0.0748,0.9,2026-06-15,0.3409
cmd/mcp-server/handlers_stage1_test.go,1,0.2891,1,0.3869,1.0,0.0,0.0748,0.9,2026-06-15,0.3409
internal/mcp/executor/handler.go,1,0.2891,1,0.3869,1.0,0.0,0.0841,0.8889,2026-06-14,0.34
internal/mcp/executor/registry.go,1,0.2891,1,0.3869,1.0,0.0,0.0841,0.8889,2026-06-14,0.34
internal/parser/reader.go,1,0.2891,1,0.3869,1.0,0.0,0.0748,0.8889,2026-06-14,0.3386
internal/query/stage2_executor.go,1,0.2891,1,0.3869,1.0,0.0,0.0748,0.8889,2026-06-14,0.3386
internal/query/stage2_executor_test.go,1,0.2891,1,0.3869,1.0,0.0,0.0748,0.8889,2026-06-14,0.3386
cmd/mcp-server/handlers_convenience.go,1,0.2891,1,0.3869,1.0,0.0,0.0654,0.8889,2026-06-14,0.3372
internal/query/catalog/catalog_test.go,1,0.2891,1,0.3869,1.0,0.0,0.0654,0.8889,2026-06-14,0.3372
internal/query/catalog/templates.go,1,0.2891,1,0.3869,1.0,0.0,0.0654,0.8889,2026-06-14,0.3372
internal/query/engine/engine_test.go,1,0.2891,1,0.3869,1.0,0.0,0.0654,0.8889,2026-06-14,0.3372
internal/query/jq.go,1,0.2891,1,0.3869,1.0,0.0,0.028,0.8889,2026-06-14,0.3316
internal/query/stats/stats.go,1,0.2891,1,0.3869,1.0,0.0,0.028,0.8889,2026-06-14,0.3316
internal/query/stats/stats_test.go,1,0.2891,1,0.3869,1.0,0.0,0.028,0.8889,2026-06-14,0.3316
internal/mcp/response/output_manager.go,1,0.2891,1,0.3869,1.0,0.0,0.0,0.8444,2026-06-10,0.3185
